case,filename,triplet_A_indices,triplet_A_atoms,triplet_A_elements,triplet_B_indices,triplet_B_atoms,triplet_B_elements,minimum_graph_distance
38,case_000038.pdb,22;23;25,22:C3:C;23:C4:C;25:S1:S,C-C-S,35;39;40,35:N2:N;39:C14:C;40:O3:O,N-C-O,7
39,case_000039.pdb,22;23;25,22:C3:C;23:C4:C;25:S1:S,C-C-S,36;37;38,36:C12:C;37:C13:C;38:N3:N,C-C-N,8
40,case_000040.pdb,22;23;25,22:C3:C;23:C4:C;25:S1:S,C-C-S,37;38;39,37:C13:C;38:N3:N;39:C14:C,C-N-C,8
41,case_000041.pdb,22;23;25,22:C3:C;23:C4:C;25:S1:S,C-C-S,38;39;40,38:N3:N;39:C14:C;40:O3:O,N-C-O,8
42,case_000042.pdb,22;25;26,22:C3:C;25:S1:S;26:C5:C,C-S-C,33;34;35,33:C10:C;34:C11:C;35:N2:N,C-C-N,5
43,case_000043.pdb,22;25;26,22:C3:C;25:S1:S;26:C5:C,C-S-C,34;35;36,34:C11:C;35:N2:N;36:C12:C,C-N-C,5
44,case_000044.pdb,22;25;26,22:C3:C;25:S1:S;26:C5:C,C-S-C,34;35;39,34:C11:C;35:N2:N;39:C14:C,C-N-C,5
45,case_000045.pdb,22;25;26,22:C3:C;25:S1:S;26:C5:C,C-S-C,34;35;41,34:C11:C;35:N2:N;41:C15:C,C-N-C,4
46,case_000046.pdb,22;25;26,22:C3:C;25:S1:S;26:C5:C,C-S-C,35;36;37,35:N2:N;36:C12:C;37:C13:C,N-C-C,6
47,case_000047.pdb,22;25;26,22:C3:C;25:S1:S;26:C5:C,C-S-C,35;36;39,35:N2:N;36:C12:C;39:C14:C,N-C-C,6
48,case_000048.pdb,22;25;26,22:C3:C;25:S1:S;26:C5:C,C-S-C,35;38;39,35:N2:N;38:N3:N;39:C14:C,N-N-C,6
49,case_000049.pdb,22;25;26,22:C3:C;25:S1:S;26:C5:C,C-S-C,35;39;40,35:N2:N;39:C14:C;40:O3:O,N-C-O,6
50,case_000050.pdb,22;25;26,22:C3:C;25:S1:S;26:C5:C,C-S-C,36;37;38,36:C12:C;37:C13:C;38:N3:N,C-C-N,7
51,case_000051.pdb,22;25;26,22:C3:C;25:S1:S;26:C5:C,C-S-C,37;38;39,37:C13:C;38:N3:N;39:C14:C,C-N-C,7
52,case_000052.pdb,22;25;26,22:C3:C;25:S1:S;26:C5:C,C-S-C,38;39;40,38:N3:N;39:C14:C;40:O3:O,N-C-O,7
53,case_000053.pdb,25;26;27,25:S1:S;26:C5:C;27:C6:C,S-C-C,33;34;35,33:C10:C;34:C11:C;35:N2:N,C-C-N,4
54,case_000054.pdb,25;26;27,25:S1:S;26:C5:C;27:C6:C,S-C-C,34;35;36,34:C11:C;35:N2:N;36:C12:C,C-N-C,4
55,case_000055.pdb,25;26;27,25:S1:S;26:C5:C;27:C6:C,S-C-C,34;35;39,34:C11:C;35:N2:N;39:C14:C,C-N-C,4
56,case_000056.pdb,25;26;27,25:S1:S;26:C5:C;27:C6:C,S-C-C,34;35;41,34:C11:C;35:N2:N;41:C15:C,C-N-C,3
57,case_000057.pdb,25;26;27,25:S1:S;26:C5:C;27:C6:C,S-C-C,35;36;37,35:N2:N;36:C12:C;37:C13:C,N-C-C,5
58,case_000058.pdb,25;26;27,25:S1:S;26:C5:C;27:C6:C,S-C-C,35;36;39,35:N2:N;36:C12:C;39:C14:C,N-C-C,5
59,case_000059.pdb,25;26;27,25:S1:S;26:C5:C;27:C6:C,S-C-C,35;38;39,35:N2:N;38:N3:N;39:C14:C,N-N-C,5
60,case_000060.pdb,25;26;27,25:S1:S;26:C5:C;27:C6:C,S-C-C,35;39;40,35:N2:N;39:C14:C;40:O3:O,N-C-O,5
61,case_000061.pdb,25;26;27,25:S1:S;26:C5:C;27:C6:C,S-C-C,36;37;38,36:C12:C;37:C13:C;38:N3:N,C-C-N,6
62,case_000062.pdb,25;26;27,25:S1:S;26:C5:C;27:C6:C,S-C-C,37;38;39,37:C13:C;38:N3:N;39:C14:C,C-N-C,6
63,case_000063.pdb,25;26;27,25:S1:S;26:C5:C;27:C6:C,S-C-C,38;39;40,38:N3:N;39:C14:C;40:O3:O,N-C-O,6
64,case_000064.pdb,25;26;43,25:S1:S;26:C5:C;43:C17:C,S-C-C,33;34;35,33:C10:C;34:C11:C;35:N2:N,C-C-N,5
65,case_000065.pdb,25;26;43,25:S1:S;26:C5:C;43:C17:C,S-C-C,34;35;36,34:C11:C;35:N2:N;36:C12:C,C-N-C,5
66,case_000066.pdb,25;26;43,25:S1:S;26:C5:C;43:C17:C,S-C-C,34;35;39,34:C11:C;35:N2:N;39:C14:C,C-N-C,5
67,case_000067.pdb,25;26;43,25:S1:S;26:C5:C;43:C17:C,S-C-C,34;35;41,34:C11:C;35:N2:N;41:C15:C,C-N-C,4
68,case_000068.pdb,25;26;43,25:S1:S;26:C5:C;43:C17:C,S-C-C,35;36;37,35:N2:N;36:C12:C;37:C13:C,N-C-C,6
69,case_000069.pdb,25;26;43,25:S1:S;26:C5:C;43:C17:C,S-C-C,35;36;39,35:N2:N;36:C12:C;39:C14:C,N-C-C,6
70,case_000070.pdb,25;26;43,25:S1:S;26:C5:C;43:C17:C,S-C-C,35;38;39,35:N2:N;38:N3:N;39:C14:C,N-N-C,6
71,case_000071.pdb,25;26;43,25:S1:S;26:C5:C;43:C17:C,S-C-C,35;39;40,35:N2:N;39:C14:C;40:O3:O,N-C-O,6
72,case_000072.pdb,25;26;43,25:S1:S;26:C5:C;43:C17:C,S-C-C,36;37;38,36:C12:C;37:C13:C;38:N3:N,C-C-N,7
73,case_000073.pdb,25;26;43,25:S1:S;26:C5:C;43:C17:C,S-C-C,37;38;39,37:C13:C;38:N3:N;39:C14:C,C-N-C,7
74,case_000074.pdb,25;26;43,25:S1:S;26:C5:C;43:C17:C,S-C-C,38;39;40,38:N3:N;39:C14:C;40:O3:O,N-C-O,7
75,case_000075.pdb,26;27;28,26:C5:C;27:C6:C;28:O2:O,C-C-O,33;34;35,33:C10:C;34:C11:C;35:N2:N,C-C-N,4
76,case_000076.pdb,26;27;28,26:C5:C;27:C6:C;28:O2:O,C-C-O,34;35;36,34:C11:C;35:N2:N;36:C12:C,C-N-C,4
77,case_000077.pdb,26;27;28,26:C5:C;27:C6:C;28:O2:O,C-C-O,34;35;39,34:C11:C;35:N2:N;39:C14:C,C-N-C,4
78,case_000078.pdb,26;27;28,26:C5:C;27:C6:C;28:O2:O,C-C-O,34;35;41,34:C11:C;35:N2:N;41:C15:C,C-N-C,3
79,case_000079.pdb,26;27;28,26:C5:C;27:C6:C;28:O2:O,C-C-O,35;36;37,35:N2:N;36:C12:C;37:C13:C,N-C-C,5
80,case_000080.pdb,26;27;28,26:C5:C;27:C6:C;28:O2:O,C-C-O,35;36;39,35:N2:N;36:C12:C;39:C14:C,N-C-C,5
81,case_000081.pdb,26;27;28,26:C5:C;27:C6:C;28:O2:O,C-C-O,35;38;39,35:N2:N;38:N3:N;39:C14:C,N-N-C,5
82,case_000082.pdb,26;27;28,26:C5:C;27:C6:C;28:O2:O,C-C-O,35;39;40,35:N2:N;39:C14:C;40:O3:O,N-C-O,5
83,case_000083.pdb,26;27;28,26:C5:C;27:C6:C;28:O2:O,C-C-O,36;37;38,36:C12:C;37:C13:C;38:N3:N,C-C-N,6
84,case_000084.pdb,26;27;28,26:C5:C;27:C6:C;28:O2:O,C-C-O,37;38;39,37:C13:C;38:N3:N;39:C14:C,C-N-C,6
85,case_000085.pdb,26;27;28,26:C5:C;27:C6:C;28:O2:O,C-C-O,38;39;40,38:N3:N;39:C14:C;40:O3:O,N-C-O,6
86,case_000086.pdb,26;27;29,26:C5:C;27:C6:C;29:N1:N,C-C-N,33;34;35,33:C10:C;34:C11:C;35:N2:N,C-C-N,3
87,case_000087.pdb,26;27;29,26:C5:C;27:C6:C;29:N1:N,C-C-N,34;35;36,34:C11:C;35:N2:N;36:C12:C,C-N-C,3
88,case_000088.pdb,26;27;29,26:C5:C;27:C6:C;29:N1:N,C-C-N,34;35;39,34:C11:C;35:N2:N;39:C14:C,C-N-C,3
89,case_000089.pdb,26;27;29,26:C5:C;27:C6:C;29:N1:N,C-C-N,35;36;37,35:N2:N;36:C12:C;37:C13:C,N-C-C,4
90,case_000090.pdb,26;27;29,26:C5:C;27:C6:C;29:N1:N,C-C-N,35;36;39,35:N2:N;36:C12:C;39:C14:C,N-C-C,4
91,case_000091.pdb,26;27;29,26:C5:C;27:C6:C;29:N1:N,C-C-N,35;38;39,35:N2:N;38:N3:N;39:C14:C,N-N-C,4
92,case_000092.pdb,26;27;29,26:C5:C;27:C6:C;29:N1:N,C-C-N,35;39;40,35:N2:N;39:C14:C;40:O3:O,N-C-O,4
93,case_000093.pdb,26;27;29,26:C5:C;27:C6:C;29:N1:N,C-C-N,36;37;38,36:C12:C;37:C13:C;38:N3:N,C-C-N,5
94,case_000094.pdb,26;27;29,26:C5:C;27:C6:C;29:N1:N,C-C-N,37;38;39,37:C13:C;38:N3:N;39:C14:C,C-N-C,5
95,case_000095.pdb,26;27;29,26:C5:C;27:C6:C;29:N1:N,C-C-N,38;39;40,38:N3:N;39:C14:C;40:O3:O,N-C-O,5
96,case_000096.pdb,27;28;29,27:C6:C;28:O2:O;29:N1:N,C-O-N,33;34;35,33:C10:C;34:C11:C;35:N2:N,C-C-N,3
97,case_000097.pdb,27;28;29,27:C6:C;28:O2:O;29:N1:N,C-O-N,34;35;36,34:C11:C;35:N2:N;36:C12:C,C-N-C,3
98,case_000098.pdb,27;28;29,27:C6:C;28:O2:O;29:N1:N,C-O-N,34;35;39,34:C11:C;35:N2:N;39:C14:C,C-N-C,3
99,case_000099.pdb,27;28;29,27:C6:C;28:O2:O;29:N1:N,C-O-N,35;36;37,35:N2:N;36:C12:C;37:C13:C,N-C-C,4
100,case_000100.pdb,27;28;29,27:C6:C;28:O2:O;29:N1:N,C-O-N,35;36;39,35:N2:N;36:C12:C;39:C14:C,N-C-C,4
101,case_000101.pdb,27;28;29,27:C6:C;28:O2:O;29:N1:N,C-O-N,35;38;39,35:N2:N;38:N3:N;39:C14:C,N-N-C,4
102,case_000102.pdb,27;28;29,27:C6:C;28:O2:O;29:N1:N,C-O-N,35;39;40,35:N2:N;39:C14:C;40:O3:O,N-C-O,4
103,case_000103.pdb,27;28;29,27:C6:C;28:O2:O;29:N1:N,C-O-N,36;37;38,36:C12:C;37:C13:C;38:N3:N,C-C-N,5
104,case_000104.pdb,27;28;29,27:C6:C;28:O2:O;29:N1:N,C-O-N,37;38;39,37:C13:C;38:N3:N;39:C14:C,C-N-C,5
105,case_000105.pdb,27;28;29,27:C6:C;28:O2:O;29:N1:N,C-O-N,38;39;40,38:N3:N;39:C14:C;40:O3:O,N-C-O,5
106,case_000106.pdb,27;29;30,27:C6:C;29:N1:N;30:C7:C,C-N-C,35;36;37,35:N2:N;36:C12:C;37:C13:C,N-C-C,3
107,case_000107.pdb,27;29;30,27:C6:C;29:N1:N;30:C7:C,C-N-C,35;36;39,35:N2:N;36:C12:C;39:C14:C,N-C-C,3
108,case_000108.pdb,27;29;30,27:C6:C;29:N1:N;30:C7:C,C-N-C,35;38;39,35:N2:N;38:N3:N;39:C14:C,N-N-C,3
109,case_000109.pdb,27;29;30,27:C6:C;29:N1:N;30:C7:C,C-N-C,35;39;40,35:N2:N;39:C14:C;40:O3:O,N-C-O,3
110,case_000110.pdb,27;29;30,27:C6:C;29:N1:N;30:C7:C,C-N-C,36;37;38,36:C12:C;37:C13:C;38:N3:N,C-C-N,4
111,case_000111.pdb,27;29;30,27:C6:C;29:N1:N;30:C7:C,C-N-C,37;38;39,37:C13:C;38:N3:N;39:C14:C,C-N-C,4
112,case_000112.pdb,27;29;30,27:C6:C;29:N1:N;30:C7:C,C-N-C,38;39;40,38:N3:N;39:C14:C;40:O3:O,N-C-O,4
113,case_000113.pdb,29;30;31,29:N1:N;30:C7:C;31:C8:C,N-C-C,35;36;37,35:N2:N;36:C12:C;37:C13:C,N-C-C,3
114,case_000114.pdb,29;30;31,29:N1:N;30:C7:C;31:C8:C,N-C-C,35;36;39,35:N2:N;36:C12:C;39:C14:C,N-C-C,3
115,case_000115.pdb,29;30;31,29:N1:N;30:C7:C;31:C8:C,N-C-C,35;38;39,35:N2:N;38:N3:N;39:C14:C,N-N-C,3
116,case_000116.pdb,29;30;31,29:N1:N;30:C7:C;31:C8:C,N-C-C,35;39;40,35:N2:N;39:C14:C;40:O3:O,N-C-O,3
117,case_000117.pdb,29;30;31,29:N1:N;30:C7:C;31:C8:C,N-C-C,36;37;38,36:C12:C;37:C13:C;38:N3:N,C-C-N,4
118,case_000118.pdb,29;30;31,29:N1:N;30:C7:C;31:C8:C,N-C-C,37;38;39,37:C13:C;38:N3:N;39:C14:C,C-N-C,4
119,case_000119.pdb,29;30;31,29:N1:N;30:C7:C;31:C8:C,N-C-C,38;39;40,38:N3:N;39:C14:C;40:O3:O,N-C-O,4
120,case_000120.pdb,29;30;41,29:N1:N;30:C7:C;41:C15:C,N-C-C,36;37;38,36:C12:C;37:C13:C;38:N3:N,C-C-N,3
121,case_000121.pdb,29;30;41,29:N1:N;30:C7:C;41:C15:C,N-C-C,37;38;39,37:C13:C;38:N3:N;39:C14:C,C-N-C,3
122,case_000122.pdb,29;30;41,29:N1:N;30:C7:C;41:C15:C,N-C-C,38;39;40,38:N3:N;39:C14:C;40:O3:O,N-C-O,3
