case,filename,triplet_A_indices,triplet_A_atoms,triplet_A_elements,triplet_B_indices,triplet_B_atoms,triplet_B_elements,minimum_graph_distance
1,case_000001.pdb,21;22;25,21:C2:C;22:C3:C;25:S1:S,C-C-S,29;30;31,29:N1:N;30:C7:C;31:C8:C,N-C-C,3
2,case_000002.pdb,21;22;25,21:C2:C;22:C3:C;25:S1:S,C-C-S,29;30;41,29:N1:N;30:C7:C;41:C15:C,N-C-C,3
3,case_000003.pdb,21;22;25,21:C2:C;22:C3:C;25:S1:S,C-C-S,33;34;35,33:C10:C;34:C11:C;35:N2:N,C-C-N,6
4,case_000004.pdb,21;22;25,21:C2:C;22:C3:C;25:S1:S,C-C-S,34;35;36,34:C11:C;35:N2:N;36:C12:C,C-N-C,6
5,case_000005.pdb,21;22;25,21:C2:C;22:C3:C;25:S1:S,C-C-S,34;35;39,34:C11:C;35:N2:N;39:C14:C,C-N-C,6
6,case_000006.pdb,21;22;25,21:C2:C;22:C3:C;25:S1:S,C-C-S,34;35;41,34:C11:C;35:N2:N;41:C15:C,C-N-C,5
7,case_000007.pdb,21;22;25,21:C2:C;22:C3:C;25:S1:S,C-C-S,35;36;37,35:N2:N;36:C12:C;37:C13:C,N-C-C,7
8,case_000008.pdb,21;22;25,21:C2:C;22:C3:C;25:S1:S,C-C-S,35;36;39,35:N2:N;36:C12:C;39:C14:C,N-C-C,7
9,case_000009.pdb,21;22;25,21:C2:C;22:C3:C;25:S1:S,C-C-S,35;38;39,35:N2:N;38:N3:N;39:C14:C,N-N-C,7
10,case_000010.pdb,21;22;25,21:C2:C;22:C3:C;25:S1:S,C-C-S,35;39;40,35:N2:N;39:C14:C;40:O3:O,N-C-O,7
11,case_000011.pdb,21;22;25,21:C2:C;22:C3:C;25:S1:S,C-C-S,36;37;38,36:C12:C;37:C13:C;38:N3:N,C-C-N,8
12,case_000012.pdb,21;22;25,21:C2:C;22:C3:C;25:S1:S,C-C-S,37;38;39,37:C13:C;38:N3:N;39:C14:C,C-N-C,8
13,case_000013.pdb,21;22;25,21:C2:C;22:C3:C;25:S1:S,C-C-S,38;39;40,38:N3:N;39:C14:C;40:O3:O,N-C-O,8
14,case_000014.pdb,22;23;24,22:C3:C;23:C4:C;24:O1:O,C-C-O,27;28;29,27:C6:C;28:O2:O;29:N1:N,C-O-N,3
15,case_000015.pdb,22;23;24,22:C3:C;23:C4:C;24:O1:O,C-C-O,27;29;30,27:C6:C;29:N1:N;30:C7:C,C-N-C,3
16,case_000016.pdb,22;23;24,22:C3:C;23:C4:C;24:O1:O,C-C-O,29;30;31,29:N1:N;30:C7:C;31:C8:C,N-C-C,4
17,case_000017.pdb,22;23;24,22:C3:C;23:C4:C;24:O1:O,C-C-O,29;30;41,29:N1:N;30:C7:C;41:C15:C,N-C-C,4
18,case_000018.pdb,22;23;24,22:C3:C;23:C4:C;24:O1:O,C-C-O,33;34;35,33:C10:C;34:C11:C;35:N2:N,C-C-N,7
19,case_000019.pdb,22;23;24,22:C3:C;23:C4:C;24:O1:O,C-C-O,34;35;36,34:C11:C;35:N2:N;36:C12:C,C-N-C,7
20,case_000020.pdb,22;23;24,22:C3:C;23:C4:C;24:O1:O,C-C-O,34;35;39,34:C11:C;35:N2:N;39:C14:C,C-N-C,7
21,case_000021.pdb,22;23;24,22:C3:C;23:C4:C;24:O1:O,C-C-O,34;35;41,34:C11:C;35:N2:N;41:C15:C,C-N-C,6
22,case_000022.pdb,22;23;24,22:C3:C;23:C4:C;24:O1:O,C-C-O,35;36;37,35:N2:N;36:C12:C;37:C13:C,N-C-C,8
23,case_000023.pdb,22;23;24,22:C3:C;23:C4:C;24:O1:O,C-C-O,35;36;39,35:N2:N;36:C12:C;39:C14:C,N-C-C,8
24,case_000024.pdb,22;23;24,22:C3:C;23:C4:C;24:O1:O,C-C-O,35;38;39,35:N2:N;38:N3:N;39:C14:C,N-N-C,8
25,case_000025.pdb,22;23;24,22:C3:C;23:C4:C;24:O1:O,C-C-O,35;39;40,35:N2:N;39:C14:C;40:O3:O,N-C-O,8
26,case_000026.pdb,22;23;24,22:C3:C;23:C4:C;24:O1:O,C-C-O,36;37;38,36:C12:C;37:C13:C;38:N3:N,C-C-N,9
27,case_000027.pdb,22;23;24,22:C3:C;23:C4:C;24:O1:O,C-C-O,37;38;39,37:C13:C;38:N3:N;39:C14:C,C-N-C,9
28,case_000028.pdb,22;23;24,22:C3:C;23:C4:C;24:O1:O,C-C-O,38;39;40,38:N3:N;39:C14:C;40:O3:O,N-C-O,9
29,case_000029.pdb,22;23;25,22:C3:C;23:C4:C;25:S1:S,C-C-S,29;30;31,29:N1:N;30:C7:C;31:C8:C,N-C-C,3
30,case_000030.pdb,22;23;25,22:C3:C;23:C4:C;25:S1:S,C-C-S,29;30;41,29:N1:N;30:C7:C;41:C15:C,N-C-C,3
31,case_000031.pdb,22;23;25,22:C3:C;23:C4:C;25:S1:S,C-C-S,33;34;35,33:C10:C;34:C11:C;35:N2:N,C-C-N,6
32,case_000032.pdb,22;23;25,22:C3:C;23:C4:C;25:S1:S,C-C-S,34;35;36,34:C11:C;35:N2:N;36:C12:C,C-N-C,6
33,case_000033.pdb,22;23;25,22:C3:C;23:C4:C;25:S1:S,C-C-S,34;35;39,34:C11:C;35:N2:N;39:C14:C,C-N-C,6
34,case_000034.pdb,22;23;25,22:C3:C;23:C4:C;25:S1:S,C-C-S,34;35;41,34:C11:C;35:N2:N;41:C15:C,C-N-C,5
35,case_000035.pdb,22;23;25,22:C3:C;23:C4:C;25:S1:S,C-C-S,35;36;37,35:N2:N;36:C12:C;37:C13:C,N-C-C,7
36,case_000036.pdb,22;23;25,22:C3:C;23:C4:C;25:S1:S,C-C-S,35;36;39,35:N2:N;36:C12:C;39:C14:C,N-C-C,7
37,case_000037.pdb,22;23;25,22:C3:C;23:C4:C;25:S1:S,C-C-S,35;38;39,35:N2:N;38:N3:N;39:C14:C,N-N-C,7
