case,filename,triplet_A_indices,triplet_A_atoms,triplet_A_elements,triplet_B_indices,triplet_B_atoms,triplet_B_elements,minimum_graph_distance
1,case_000001.pdb,0;1;2,0:C1:C;1:C2:C;2:N1:N,C-C-N,5;6;7,5:C5:C;6:C6:C;7:N2:N,C-C-N,3
2,case_000002.pdb,0;1;2,0:C1:C;1:C2:C;2:N1:N,C-C-N,5;11;12,5:C5:C;11:C8:C;12:N5:N,C-C-N,3
3,case_000003.pdb,0;1;2,0:C1:C;1:C2:C;2:N1:N,C-C-N,6;7;8,6:C6:C;7:N2:N;8:N3:N,C-N-N,4
4,case_000004.pdb,0;1;2,0:C1:C;1:C2:C;2:N1:N,C-C-N,6;7;10,6:C6:C;7:N2:N;10:C7:C,C-N-C,4
5,case_000005.pdb,0;1;2,0:C1:C;1:C2:C;2:N1:N,C-C-N,6;9;10,6:C6:C;9:N4:N;10:C7:C,C-N-C,4
6,case_000006.pdb,0;1;2,0:C1:C;1:C2:C;2:N1:N,C-C-N,7;8;9,7:N2:N;8:N3:N;9:N4:N,N-N-N,5
7,case_000007.pdb,0;1;2,0:C1:C;1:C2:C;2:N1:N,C-C-N,8;9;10,8:N3:N;9:N4:N;10:C7:C,N-N-C,5
8,case_000008.pdb,0;1;14,0:C1:C;1:C2:C;14:N6:N,C-C-N,5;6;7,5:C5:C;6:C6:C;7:N2:N,C-C-N,4
9,case_000009.pdb,0;1;14,0:C1:C;1:C2:C;14:N6:N,C-C-N,6;7;8,6:C6:C;7:N2:N;8:N3:N,C-N-N,5
10,case_000010.pdb,0;1;14,0:C1:C;1:C2:C;14:N6:N,C-C-N,6;7;10,6:C6:C;7:N2:N;10:C7:C,C-N-C,5
11,case_000011.pdb,0;1;14,0:C1:C;1:C2:C;14:N6:N,C-C-N,6;9;10,6:C6:C;9:N4:N;10:C7:C,C-N-C,5
12,case_000012.pdb,0;1;14,0:C1:C;1:C2:C;14:N6:N,C-C-N,7;8;9,7:N2:N;8:N3:N;9:N4:N,N-N-N,6
13,case_000013.pdb,0;1;14,0:C1:C;1:C2:C;14:N6:N,C-C-N,8;9;10,8:N3:N;9:N4:N;10:C7:C,N-N-C,6
14,case_000014.pdb,1;2;3,1:C2:C;2:N1:N;3:C3:C,C-N-C,6;7;8,6:C6:C;7:N2:N;8:N3:N,C-N-N,3
15,case_000015.pdb,1;2;3,1:C2:C;2:N1:N;3:C3:C,C-N-C,6;7;10,6:C6:C;7:N2:N;10:C7:C,C-N-C,3
16,case_000016.pdb,1;2;3,1:C2:C;2:N1:N;3:C3:C,C-N-C,6;9;10,6:C6:C;9:N4:N;10:C7:C,C-N-C,3
17,case_000017.pdb,1;2;3,1:C2:C;2:N1:N;3:C3:C,C-N-C,7;8;9,7:N2:N;8:N3:N;9:N4:N,N-N-N,4
18,case_000018.pdb,1;2;3,1:C2:C;2:N1:N;3:C3:C,C-N-C,8;9;10,8:N3:N;9:N4:N;10:C7:C,N-N-C,4
19,case_000019.pdb,1;2;14,1:C2:C;2:N1:N;14:N6:N,C-N-N,5;6;7,5:C5:C;6:C6:C;7:N2:N,C-C-N,3
