case,filename,triplet_A_indices,triplet_A_atoms,triplet_A_elements,triplet_B_indices,triplet_B_atoms,triplet_B_elements,minimum_graph_distance
20,case_000020.pdb,1;2;14,1:C2:C;2:N1:N;14:N6:N,C-N-N,6;7;8,6:C6:C;7:N2:N;8:N3:N,C-N-N,4
21,case_000021.pdb,1;2;14,1:C2:C;2:N1:N;14:N6:N,C-N-N,6;7;10,6:C6:C;7:N2:N;10:C7:C,C-N-C,4
22,case_000022.pdb,1;2;14,1:C2:C;2:N1:N;14:N6:N,C-N-N,6;9;10,6:C6:C;9:N4:N;10:C7:C,C-N-C,4
23,case_000023.pdb,1;2;14,1:C2:C;2:N1:N;14:N6:N,C-N-N,7;8;9,7:N2:N;8:N3:N;9:N4:N,N-N-N,5
24,case_000024.pdb,1;2;14,1:C2:C;2:N1:N;14:N6:N,C-N-N,8;9;10,8:N3:N;9:N4:N;10:C7:C,N-N-C,5
25,case_000025.pdb,1;13;14,1:C2:C;13:C9:C;14:N6:N,C-C-N,5;6;7,5:C5:C;6:C6:C;7:N2:N,C-C-N,3
26,case_000026.pdb,1;13;14,1:C2:C;13:C9:C;14:N6:N,C-C-N,6;7;8,6:C6:C;7:N2:N;8:N3:N,C-N-N,4
27,case_000027.pdb,1;13;14,1:C2:C;13:C9:C;14:N6:N,C-C-N,6;7;10,6:C6:C;7:N2:N;10:C7:C,C-N-C,4
28,case_000028.pdb,1;13;14,1:C2:C;13:C9:C;14:N6:N,C-C-N,6;9;10,6:C6:C;9:N4:N;10:C7:C,C-N-C,4
29,case_000029.pdb,1;13;14,1:C2:C;13:C9:C;14:N6:N,C-C-N,7;8;9,7:N2:N;8:N3:N;9:N4:N,N-N-N,5
30,case_000030.pdb,1;13;14,1:C2:C;13:C9:C;14:N6:N,C-C-N,8;9;10,8:N3:N;9:N4:N;10:C7:C,N-N-C,5
31,case_000031.pdb,2;3;4,2:N1:N;3:C3:C;4:C4:C,N-C-C,7;8;9,7:N2:N;8:N3:N;9:N4:N,N-N-N,3
32,case_000032.pdb,2;3;4,2:N1:N;3:C3:C;4:C4:C,N-C-C,8;9;10,8:N3:N;9:N4:N;10:C7:C,N-N-C,3
33,case_000033.pdb,2;3;13,2:N1:N;3:C3:C;13:C9:C,N-C-C,6;7;8,6:C6:C;7:N2:N;8:N3:N,C-N-N,3
34,case_000034.pdb,2;3;13,2:N1:N;3:C3:C;13:C9:C,N-C-C,6;7;10,6:C6:C;7:N2:N;10:C7:C,C-N-C,3
35,case_000035.pdb,2;3;13,2:N1:N;3:C3:C;13:C9:C,N-C-C,6;9;10,6:C6:C;9:N4:N;10:C7:C,C-N-C,3
36,case_000036.pdb,2;3;13,2:N1:N;3:C3:C;13:C9:C,N-C-C,7;8;9,7:N2:N;8:N3:N;9:N4:N,N-N-N,4
37,case_000037.pdb,2;3;13,2:N1:N;3:C3:C;13:C9:C,N-C-C,8;9;10,8:N3:N;9:N4:N;10:C7:C,N-N-C,4
38,case_000038.pdb,3;12;13,3:C3:C;12:N5:N;13:C9:C,C-N-C,6;7;8,6:C6:C;7:N2:N;8:N3:N,C-N-N,3
39,case_000039.pdb,3;12;13,3:C3:C;12:N5:N;13:C9:C,C-N-C,6;7;10,6:C6:C;7:N2:N;10:C7:C,C-N-C,3
40,case_000040.pdb,3;12;13,3:C3:C;12:N5:N;13:C9:C,C-N-C,6;9;10,6:C6:C;9:N4:N;10:C7:C,C-N-C,3
41,case_000041.pdb,3;12;13,3:C3:C;12:N5:N;13:C9:C,C-N-C,7;8;9,7:N2:N;8:N3:N;9:N4:N,N-N-N,4
42,case_000042.pdb,3;12;13,3:C3:C;12:N5:N;13:C9:C,C-N-C,8;9;10,8:N3:N;9:N4:N;10:C7:C,N-N-C,4
43,case_000043.pdb,3;13;14,3:C3:C;13:C9:C;14:N6:N,C-C-N,6;7;8,6:C6:C;7:N2:N;8:N3:N,C-N-N,3
44,case_000044.pdb,3;13;14,3:C3:C;13:C9:C;14:N6:N,C-C-N,6;7;10,6:C6:C;7:N2:N;10:C7:C,C-N-C,3
45,case_000045.pdb,3;13;14,3:C3:C;13:C9:C;14:N6:N,C-C-N,6;9;10,6:C6:C;9:N4:N;10:C7:C,C-N-C,3
46,case_000046.pdb,3;13;14,3:C3:C;13:C9:C;14:N6:N,C-C-N,7;8;9,7:N2:N;8:N3:N;9:N4:N,N-N-N,4
47,case_000047.pdb,3;13;14,3:C3:C;13:C9:C;14:N6:N,C-C-N,8;9;10,8:N3:N;9:N4:N;10:C7:C,N-N-C,4
48,case_000048.pdb,6;7;8,6:C6:C;7:N2:N;8:N3:N,C-N-N,12;13;14,12:N5:N;13:C9:C;14:N6:N,N-C-N,3
49,case_000049.pdb,6;7;10,6:C6:C;7:N2:N;10:C7:C,C-N-C,12;13;14,12:N5:N;13:C9:C;14:N6:N,N-C-N,3
50,case_000050.pdb,6;9;10,6:C6:C;9:N4:N;10:C7:C,C-N-C,12;13;14,12:N5:N;13:C9:C;14:N6:N,N-C-N,3
51,case_000051.pdb,7;8;9,7:N2:N;8:N3:N;9:N4:N,N-N-N,11;12;13,11:C8:C;12:N5:N;13:C9:C,C-N-C,3
52,case_000052.pdb,7;8;9,7:N2:N;8:N3:N;9:N4:N,N-N-N,12;13;14,12:N5:N;13:C9:C;14:N6:N,N-C-N,4
53,case_000053.pdb,8;9;10,8:N3:N;9:N4:N;10:C7:C,N-N-C,11;12;13,11:C8:C;12:N5:N;13:C9:C,C-N-C,3
54,case_000054.pdb,8;9;10,8:N3:N;9:N4:N;10:C7:C,N-N-C,12;13;14,12:N5:N;13:C9:C;14:N6:N,N-C-N,4
