case,filename,triplet_A_indices,triplet_A_atoms,triplet_A_elements,triplet_B_indices,triplet_B_atoms,triplet_B_elements,minimum_graph_distance
1,case_000001.pdb,3;15;19,3:C:C;15:C:C;19:N:N,C-C-N,6;13;17,6:C:C;13:C:C;17:F:F,C-C-F,9
2,case_000002.pdb,3;15;19,3:C:C;15:C:C;19:N:N,C-C-N,7;13;17,7:C:C;13:C:C;17:F:F,C-C-F,9
3,case_000003.pdb,3;15;19,3:C:C;15:C:C;19:N:N,C-C-N,8;9;18,8:C:C;9:C:C;18:N:N,C-C-N,3
4,case_000004.pdb,3;15;19,3:C:C;15:C:C;19:N:N,C-C-N,9;16;18,9:C:C;16:C:C;18:N:N,C-C-N,4
5,case_000005.pdb,3;15;19,3:C:C;15:C:C;19:N:N,C-C-N,11;16;18,11:C:C;16:C:C;18:N:N,C-C-N,5
6,case_000006.pdb,3;15;19,3:C:C;15:C:C;19:N:N,C-C-N,11;16;20,11:C:C;16:C:C;20:O:O,C-C-O,6
7,case_000007.pdb,3;15;19,3:C:C;15:C:C;19:N:N,C-C-N,16;18;20,16:C:C;18:N:N;20:O:O,C-N-O,5
8,case_000008.pdb,6;13;17,6:C:C;13:C:C;17:F:F,C-C-F,8;9;18,8:C:C;9:C:C;18:N:N,C-C-N,4
9,case_000009.pdb,6;13;17,6:C:C;13:C:C;17:F:F,C-C-F,9;16;18,9:C:C;16:C:C;18:N:N,C-C-N,3
10,case_000010.pdb,6;13;17,6:C:C;13:C:C;17:F:F,C-C-F,10;12;19,10:C:C;12:C:C;19:N:N,C-C-N,7
11,case_000011.pdb,6;13;17,6:C:C;13:C:C;17:F:F,C-C-F,10;15;19,10:C:C;15:C:C;19:N:N,C-C-N,8
12,case_000012.pdb,6;13;17,6:C:C;13:C:C;17:F:F,C-C-F,14;15;19,14:C:C;15:C:C;19:N:N,C-C-N,8
13,case_000013.pdb,6;13;17,6:C:C;13:C:C;17:F:F,C-C-F,16;18;20,16:C:C;18:N:N;20:O:O,C-N-O,3
14,case_000014.pdb,7;13;17,7:C:C;13:C:C;17:F:F,C-C-F,8;9;18,8:C:C;9:C:C;18:N:N,C-C-N,4
15,case_000015.pdb,7;13;17,7:C:C;13:C:C;17:F:F,C-C-F,9;16;18,9:C:C;16:C:C;18:N:N,C-C-N,3
16,case_000016.pdb,7;13;17,7:C:C;13:C:C;17:F:F,C-C-F,10;12;19,10:C:C;12:C:C;19:N:N,C-C-N,7
17,case_000017.pdb,7;13;17,7:C:C;13:C:C;17:F:F,C-C-F,10;15;19,10:C:C;15:C:C;19:N:N,C-C-N,8
18,case_000018.pdb,7;13;17,7:C:C;13:C:C;17:F:F,C-C-F,14;15;19,14:C:C;15:C:C;19:N:N,C-C-N,8
19,case_000019.pdb,7;13;17,7:C:C;13:C:C;17:F:F,C-C-F,16;18;20,16:C:C;18:N:N;20:O:O,C-N-O,3
20,case_000020.pdb,9;16;18,9:C:C;16:C:C;18:N:N,C-C-N,10;15;19,10:C:C;15:C:C;19:N:N,C-C-N,3
21,case_000021.pdb,9;16;18,9:C:C;16:C:C;18:N:N,C-C-N,14;15;19,14:C:C;15:C:C;19:N:N,C-C-N,3
22,case_000022.pdb,10;12;19,10:C:C;12:C:C;19:N:N,C-C-N,11;16;18,11:C:C;16:C:C;18:N:N,C-C-N,3
23,case_000023.pdb,10;12;19,10:C:C;12:C:C;19:N:N,C-C-N,11;16;20,11:C:C;16:C:C;20:O:O,C-C-O,4
24,case_000024.pdb,10;12;19,10:C:C;12:C:C;19:N:N,C-C-N,16;18;20,16:C:C;18:N:N;20:O:O,C-N-O,3
25,case_000025.pdb,10;15;19,10:C:C;15:C:C;19:N:N,C-C-N,11;16;18,11:C:C;16:C:C;18:N:N,C-C-N,4
26,case_000026.pdb,10;15;19,10:C:C;15:C:C;19:N:N,C-C-N,11;16;20,11:C:C;16:C:C;20:O:O,C-C-O,5
27,case_000027.pdb,10;15;19,10:C:C;15:C:C;19:N:N,C-C-N,16;18;20,16:C:C;18:N:N;20:O:O,C-N-O,4
28,case_000028.pdb,11;16;18,11:C:C;16:C:C;18:N:N,C-C-N,14;15;19,14:C:C;15:C:C;19:N:N,C-C-N,4
29,case_000029.pdb,11;16;20,11:C:C;16:C:C;20:O:O,C-C-O,14;15;19,14:C:C;15:C:C;19:N:N,C-C-N,5
30,case_000030.pdb,14;15;19,14:C:C;15:C:C;19:N:N,C-C-N,16;18;20,16:C:C;18:N:N;20:O:O,C-N-O,4
