case,filename,triplet_A_indices,triplet_A_atoms,triplet_A_elements,triplet_B_indices,triplet_B_atoms,triplet_B_elements,minimum_graph_distance
1,case_000001.pdb,20;21;22,20:N1:N;21:C1:C;22:C2:C,N-C-C,25;26;27,25:C5:C;26:N2:N;27:C6:C,C-N-C,3
2,case_000002.pdb,20;21;22,20:N1:N;21:C1:C;22:C2:C,N-C-C,26;27;28,26:N2:N;27:C6:C;28:O1:O,N-C-O,4
3,case_000003.pdb,20;21;22,20:N1:N;21:C1:C;22:C2:C,N-C-C,26;27;29,26:N2:N;27:C6:C;29:C7:C,N-C-C,4
4,case_000004.pdb,20;21;22,20:N1:N;21:C1:C;22:C2:C,N-C-C,27;28;29,27:C6:C;28:O1:O;29:C7:C,C-O-C,5
5,case_000005.pdb,20;21;22,20:N1:N;21:C1:C;22:C2:C,N-C-C,29;30;35,29:C7:C;30:C8:C;35:N3:N,C-C-N,6
6,case_000006.pdb,20;21;22,20:N1:N;21:C1:C;22:C2:C,N-C-C,30;31;35,30:C8:C;31:C9:C;35:N3:N,C-C-N,7
7,case_000007.pdb,20;21;22,20:N1:N;21:C1:C;22:C2:C,N-C-C,30;34;35,30:C8:C;34:C12:C;35:N3:N,C-C-N,7
8,case_000008.pdb,20;21;22,20:N1:N;21:C1:C;22:C2:C,N-C-C,30;35;36,30:C8:C;35:N3:N;36:C13:C,C-N-C,7
9,case_000009.pdb,20;21;22,20:N1:N;21:C1:C;22:C2:C,N-C-C,33;34;35,33:C11:C;34:C12:C;35:N3:N,C-C-N,8
10,case_000010.pdb,20;21;22,20:N1:N;21:C1:C;22:C2:C,N-C-C,34;35;36,34:C12:C;35:N3:N;36:C13:C,C-N-C,8
11,case_000011.pdb,20;21;22,20:N1:N;21:C1:C;22:C2:C,N-C-C,35;36;37,35:N3:N;36:C13:C;37:C14:C,N-C-C,8
12,case_000012.pdb,20;21;22,20:N1:N;21:C1:C;22:C2:C,N-C-C,35;36;39,35:N3:N;36:C13:C;39:C15:C,N-C-C,7
13,case_000013.pdb,20;21;22,20:N1:N;21:C1:C;22:C2:C,N-C-C,36;37;38,36:C13:C;37:C14:C;38:O2:O,C-C-O,8
14,case_000014.pdb,20;21;22,20:N1:N;21:C1:C;22:C2:C,N-C-C,41;42;43,41:C17:C;42:C18:C;43:O3:O,C-C-O,3
15,case_000015.pdb,20;21;22,20:N1:N;21:C1:C;22:C2:C,N-C-C,42;43;44,42:C18:C;43:O3:O;44:C19:C,C-O-C,3
16,case_000016.pdb,24;25;26,24:C4:C;25:C5:C;26:N2:N,C-C-N,30;31;35,30:C8:C;31:C9:C;35:N3:N,C-C-N,3
17,case_000017.pdb,24;25;26,24:C4:C;25:C5:C;26:N2:N,C-C-N,30;34;35,30:C8:C;34:C12:C;35:N3:N,C-C-N,3
18,case_000018.pdb,24;25;26,24:C4:C;25:C5:C;26:N2:N,C-C-N,30;35;36,30:C8:C;35:N3:N;36:C13:C,C-N-C,3
19,case_000019.pdb,24;25;26,24:C4:C;25:C5:C;26:N2:N,C-C-N,33;34;35,33:C11:C;34:C12:C;35:N3:N,C-C-N,4
