case,filename,triplet_A_indices,triplet_A_atoms,triplet_A_elements,triplet_B_indices,triplet_B_atoms,triplet_B_elements,minimum_graph_distance
1,case_000001.pdb,0;1;2,0:N1:N;1:C1:C;2:C2:C,N-C-C,7;8;9,7:N3:N;8:C6:C;9:C7:C,N-C-C,3
2,case_000002.pdb,0;1;2,0:N1:N;1:C1:C;2:C2:C,N-C-C,8;9;14,8:C6:C;9:C7:C;14:N4:N,C-C-N,4
3,case_000003.pdb,0;1;2,0:N1:N;1:C1:C;2:C2:C,N-C-C,9;10;14,9:C7:C;10:C8:C;14:N4:N,C-C-N,5
4,case_000004.pdb,0;1;2,0:N1:N;1:C1:C;2:C2:C,N-C-C,9;13;14,9:C7:C;13:C10:C;14:N4:N,C-C-N,5
5,case_000005.pdb,0;1;2,0:N1:N;1:C1:C;2:C2:C,N-C-C,10;11;12,10:C8:C;11:C9:C;12:Br1:Br,C-C-Br,6
6,case_000006.pdb,0;1;2,0:N1:N;1:C1:C;2:C2:C,N-C-C,11;12;13,11:C9:C;12:Br1:Br;13:C10:C,C-Br-C,7
7,case_000007.pdb,0;1;2,0:N1:N;1:C1:C;2:C2:C,N-C-C,11;13;14,11:C9:C;13:C10:C;14:N4:N,C-C-N,6
8,case_000008.pdb,1;2;15,1:C1:C;2:C2:C;15:N5:N,C-C-N,8;9;14,8:C6:C;9:C7:C;14:N4:N,C-C-N,3
9,case_000009.pdb,1;2;15,1:C1:C;2:C2:C;15:N5:N,C-C-N,9;10;14,9:C7:C;10:C8:C;14:N4:N,C-C-N,4
10,case_000010.pdb,1;2;15,1:C1:C;2:C2:C;15:N5:N,C-C-N,9;13;14,9:C7:C;13:C10:C;14:N4:N,C-C-N,4
11,case_000011.pdb,1;2;15,1:C1:C;2:C2:C;15:N5:N,C-C-N,10;11;12,10:C8:C;11:C9:C;12:Br1:Br,C-C-Br,5
12,case_000012.pdb,1;2;15,1:C1:C;2:C2:C;15:N5:N,C-C-N,11;12;13,11:C9:C;12:Br1:Br;13:C10:C,C-Br-C,6
13,case_000013.pdb,1;2;15,1:C1:C;2:C2:C;15:N5:N,C-C-N,11;13;14,11:C9:C;13:C10:C;14:N4:N,C-C-N,5
