case,filename,triplet_A_indices,triplet_A_atoms,triplet_A_elements,triplet_B_indices,triplet_B_atoms,triplet_B_elements,minimum_graph_distance
14,case_000014.pdb,2;3;4,2:C2:C;3:C3:C;4:N2:N,C-C-N,7;8;9,7:N3:N;8:C6:C;9:C7:C,N-C-C,3
15,case_000015.pdb,2;3;4,2:C2:C;3:C3:C;4:N2:N,C-C-N,8;9;14,8:C6:C;9:C7:C;14:N4:N,C-C-N,4
16,case_000016.pdb,2;3;4,2:C2:C;3:C3:C;4:N2:N,C-C-N,9;10;14,9:C7:C;10:C8:C;14:N4:N,C-C-N,5
17,case_000017.pdb,2;3;4,2:C2:C;3:C3:C;4:N2:N,C-C-N,9;13;14,9:C7:C;13:C10:C;14:N4:N,C-C-N,5
18,case_000018.pdb,2;3;4,2:C2:C;3:C3:C;4:N2:N,C-C-N,10;11;12,10:C8:C;11:C9:C;12:Br1:Br,C-C-Br,6
19,case_000019.pdb,2;3;4,2:C2:C;3:C3:C;4:N2:N,C-C-N,11;12;13,11:C9:C;12:Br1:Br;13:C10:C,C-Br-C,7
20,case_000020.pdb,2;3;4,2:C2:C;3:C3:C;4:N2:N,C-C-N,11;13;14,11:C9:C;13:C10:C;14:N4:N,C-C-N,6
21,case_000021.pdb,2;3;15,2:C2:C;3:C3:C;15:N5:N,C-C-N,8;9;14,8:C6:C;9:C7:C;14:N4:N,C-C-N,3
22,case_000022.pdb,2;3;15,2:C2:C;3:C3:C;15:N5:N,C-C-N,9;10;14,9:C7:C;10:C8:C;14:N4:N,C-C-N,4
23,case_000023.pdb,2;3;15,2:C2:C;3:C3:C;15:N5:N,C-C-N,9;13;14,9:C7:C;13:C10:C;14:N4:N,C-C-N,4
24,case_000024.pdb,2;3;15,2:C2:C;3:C3:C;15:N5:N,C-C-N,10;11;12,10:C8:C;11:C9:C;12:Br1:Br,C-C-Br,5
25,case_000025.pdb,2;3;15,2:C2:C;3:C3:C;15:N5:N,C-C-N,11;12;13,11:C9:C;12:Br1:Br;13:C10:C,C-Br-C,6
26,case_000026.pdb,2;3;15,2:C2:C;3:C3:C;15:N5:N,C-C-N,11;13;14,11:C9:C;13:C10:C;14:N4:N,C-C-N,5
27,case_000027.pdb,2;6;15,2:C2:C;6:C5:C;15:N5:N,C-C-N,9;10;14,9:C7:C;10:C8:C;14:N4:N,C-C-N,3
28,case_000028.pdb,2;6;15,2:C2:C;6:C5:C;15:N5:N,C-C-N,9;13;14,9:C7:C;13:C10:C;14:N4:N,C-C-N,3
29,case_000029.pdb,2;6;15,2:C2:C;6:C5:C;15:N5:N,C-C-N,10;11;12,10:C8:C;11:C9:C;12:Br1:Br,C-C-Br,4
30,case_000030.pdb,2;6;15,2:C2:C;6:C5:C;15:N5:N,C-C-N,11;12;13,11:C9:C;12:Br1:Br;13:C10:C,C-Br-C,5
31,case_000031.pdb,2;6;15,2:C2:C;6:C5:C;15:N5:N,C-C-N,11;13;14,11:C9:C;13:C10:C;14:N4:N,C-C-N,4
32,case_000032.pdb,3;4;5,3:C3:C;4:N2:N;5:C4:C,C-N-C,8;9;14,8:C6:C;9:C7:C;14:N4:N,C-C-N,3
33,case_000033.pdb,3;4;5,3:C3:C;4:N2:N;5:C4:C,C-N-C,9;10;14,9:C7:C;10:C8:C;14:N4:N,C-C-N,4
34,case_000034.pdb,3;4;5,3:C3:C;4:N2:N;5:C4:C,C-N-C,9;13;14,9:C7:C;13:C10:C;14:N4:N,C-C-N,4
35,case_000035.pdb,3;4;5,3:C3:C;4:N2:N;5:C4:C,C-N-C,10;11;12,10:C8:C;11:C9:C;12:Br1:Br,C-C-Br,5
36,case_000036.pdb,3;4;5,3:C3:C;4:N2:N;5:C4:C,C-N-C,11;12;13,11:C9:C;12:Br1:Br;13:C10:C,C-Br-C,6
37,case_000037.pdb,3;4;5,3:C3:C;4:N2:N;5:C4:C,C-N-C,11;13;14,11:C9:C;13:C10:C;14:N4:N,C-C-N,5
38,case_000038.pdb,4;5;6,4:N2:N;5:C4:C;6:C5:C,N-C-C,9;10;14,9:C7:C;10:C8:C;14:N4:N,C-C-N,3
39,case_000039.pdb,4;5;6,4:N2:N;5:C4:C;6:C5:C,N-C-C,9;13;14,9:C7:C;13:C10:C;14:N4:N,C-C-N,3
40,case_000040.pdb,4;5;6,4:N2:N;5:C4:C;6:C5:C,N-C-C,10;11;12,10:C8:C;11:C9:C;12:Br1:Br,C-C-Br,4
41,case_000041.pdb,4;5;6,4:N2:N;5:C4:C;6:C5:C,N-C-C,11;12;13,11:C9:C;12:Br1:Br;13:C10:C,C-Br-C,5
42,case_000042.pdb,4;5;6,4:N2:N;5:C4:C;6:C5:C,N-C-C,11;13;14,11:C9:C;13:C10:C;14:N4:N,C-C-N,4
43,case_000043.pdb,5;6;7,5:C4:C;6:C5:C;7:N3:N,C-C-N,10;11;12,10:C8:C;11:C9:C;12:Br1:Br,C-C-Br,3
44,case_000044.pdb,5;6;7,5:C4:C;6:C5:C;7:N3:N,C-C-N,11;12;13,11:C9:C;12:Br1:Br;13:C10:C,C-Br-C,4
45,case_000045.pdb,5;6;7,5:C4:C;6:C5:C;7:N3:N,C-C-N,11;13;14,11:C9:C;13:C10:C;14:N4:N,C-C-N,3
46,case_000046.pdb,5;6;15,5:C4:C;6:C5:C;15:N5:N,C-C-N,9;10;14,9:C7:C;10:C8:C;14:N4:N,C-C-N,3
47,case_000047.pdb,5;6;15,5:C4:C;6:C5:C;15:N5:N,C-C-N,9;13;14,9:C7:C;13:C10:C;14:N4:N,C-C-N,3
48,case_000048.pdb,5;6;15,5:C4:C;6:C5:C;15:N5:N,C-C-N,10;11;12,10:C8:C;11:C9:C;12:Br1:Br,C-C-Br,4
49,case_000049.pdb,5;6;15,5:C4:C;6:C5:C;15:N5:N,C-C-N,11;12;13,11:C9:C;12:Br1:Br;13:C10:C,C-Br-C,5
50,case_000050.pdb,5;6;15,5:C4:C;6:C5:C;15:N5:N,C-C-N,11;13;14,11:C9:C;13:C10:C;14:N4:N,C-C-N,4
51,case_000051.pdb,6;7;8,6:C5:C;7:N3:N;8:C6:C,C-N-C,11;12;13,11:C9:C;12:Br1:Br;13:C10:C,C-Br-C,3
52,case_000052.pdb,6;7;15,6:C5:C;7:N3:N;15:N5:N,C-N-N,10;11;12,10:C8:C;11:C9:C;12:Br1:Br,C-C-Br,3
53,case_000053.pdb,6;7;15,6:C5:C;7:N3:N;15:N5:N,C-N-N,11;12;13,11:C9:C;12:Br1:Br;13:C10:C,C-Br-C,4
54,case_000054.pdb,6;7;15,6:C5:C;7:N3:N;15:N5:N,C-N-N,11;13;14,11:C9:C;13:C10:C;14:N4:N,C-C-N,3
