case,filename,triplet_A_indices,triplet_A_atoms,triplet_A_elements,triplet_B_indices,triplet_B_atoms,triplet_B_elements,minimum_graph_distance
21,case_000021.pdb,2;3;6,2:N1:N;3:C2:C;6:C4:C,N-C-C,11;12;15,11:N4:N;12:C7:C;15:C10:C,N-C-C,3
22,case_000022.pdb,2;3;6,2:N1:N;3:C2:C;6:C4:C,N-C-C,11;14;15,11:N4:N;14:C9:C;15:C10:C,N-C-C,3
23,case_000023.pdb,3;4;5,3:C2:C;4:C3:C;5:S1:S,C-C-S,7;8;9,7:C5:C;8:N2:N;9:C6:C,C-N-C,3
24,case_000024.pdb,3;4;5,3:C2:C;4:C3:C;5:S1:S,C-C-S,7;8;15,7:C5:C;8:N2:N;15:C10:C,C-N-C,3
25,case_000025.pdb,3;4;5,3:C2:C;4:C3:C;5:S1:S,C-C-S,7;11;15,7:C5:C;11:N4:N;15:C10:C,C-N-C,3
26,case_000026.pdb,3;4;5,3:C2:C;4:C3:C;5:S1:S,C-C-S,8;9;10,8:N2:N;9:C6:C;10:N3:N,N-C-N,4
27,case_000027.pdb,3;4;5,3:C2:C;4:C3:C;5:S1:S,C-C-S,9;10;11,9:C6:C;10:N3:N;11:N4:N,C-N-N,5
28,case_000028.pdb,3;4;5,3:C2:C;4:C3:C;5:S1:S,C-C-S,10;11;12,10:N3:N;11:N4:N;12:C7:C,N-N-C,5
29,case_000029.pdb,3;4;5,3:C2:C;4:C3:C;5:S1:S,C-C-S,10;11;15,10:N3:N;11:N4:N;15:C10:C,N-N-C,4
30,case_000030.pdb,3;4;5,3:C2:C;4:C3:C;5:S1:S,C-C-S,11;12;13,11:N4:N;12:C7:C;13:C8:C,N-C-C,5
31,case_000031.pdb,3;4;5,3:C2:C;4:C3:C;5:S1:S,C-C-S,11;12;15,11:N4:N;12:C7:C;15:C10:C,N-C-C,4
32,case_000032.pdb,3;4;5,3:C2:C;4:C3:C;5:S1:S,C-C-S,11;14;15,11:N4:N;14:C9:C;15:C10:C,N-C-C,4
33,case_000033.pdb,3;5;6,3:C2:C;5:S1:S;6:C4:C,C-S-C,7;8;9,7:C5:C;8:N2:N;9:C6:C,C-N-C,3
34,case_000034.pdb,3;5;6,3:C2:C;5:S1:S;6:C4:C,C-S-C,7;8;15,7:C5:C;8:N2:N;15:C10:C,C-N-C,3
35,case_000035.pdb,3;5;6,3:C2:C;5:S1:S;6:C4:C,C-S-C,7;11;15,7:C5:C;11:N4:N;15:C10:C,C-N-C,3
36,case_000036.pdb,3;5;6,3:C2:C;5:S1:S;6:C4:C,C-S-C,8;9;10,8:N2:N;9:C6:C;10:N3:N,N-C-N,4
37,case_000037.pdb,3;5;6,3:C2:C;5:S1:S;6:C4:C,C-S-C,9;10;11,9:C6:C;10:N3:N;11:N4:N,C-N-N,5
38,case_000038.pdb,3;5;6,3:C2:C;5:S1:S;6:C4:C,C-S-C,10;11;12,10:N3:N;11:N4:N;12:C7:C,N-N-C,5
39,case_000039.pdb,3;5;6,3:C2:C;5:S1:S;6:C4:C,C-S-C,10;11;15,10:N3:N;11:N4:N;15:C10:C,N-N-C,4
40,case_000040.pdb,3;5;6,3:C2:C;5:S1:S;6:C4:C,C-S-C,11;12;13,11:N4:N;12:C7:C;13:C8:C,N-C-C,5
41,case_000041.pdb,3;5;6,3:C2:C;5:S1:S;6:C4:C,C-S-C,11;12;15,11:N4:N;12:C7:C;15:C10:C,N-C-C,4
42,case_000042.pdb,3;5;6,3:C2:C;5:S1:S;6:C4:C,C-S-C,11;14;15,11:N4:N;14:C9:C;15:C10:C,N-C-C,4
43,case_000043.pdb,4;5;6,4:C3:C;5:S1:S;6:C4:C,C-S-C,7;8;9,7:C5:C;8:N2:N;9:C6:C,C-N-C,4
44,case_000044.pdb,4;5;6,4:C3:C;5:S1:S;6:C4:C,C-S-C,7;8;15,7:C5:C;8:N2:N;15:C10:C,C-N-C,4
45,case_000045.pdb,4;5;6,4:C3:C;5:S1:S;6:C4:C,C-S-C,7;11;15,7:C5:C;11:N4:N;15:C10:C,C-N-C,4
46,case_000046.pdb,4;5;6,4:C3:C;5:S1:S;6:C4:C,C-S-C,8;9;10,8:N2:N;9:C6:C;10:N3:N,N-C-N,5
47,case_000047.pdb,4;5;6,4:C3:C;5:S1:S;6:C4:C,C-S-C,9;10;11,9:C6:C;10:N3:N;11:N4:N,C-N-N,6
48,case_000048.pdb,4;5;6,4:C3:C;5:S1:S;6:C4:C,C-S-C,10;11;12,10:N3:N;11:N4:N;12:C7:C,N-N-C,6
49,case_000049.pdb,4;5;6,4:C3:C;5:S1:S;6:C4:C,C-S-C,10;11;15,10:N3:N;11:N4:N;15:C10:C,N-N-C,5
50,case_000050.pdb,4;5;6,4:C3:C;5:S1:S;6:C4:C,C-S-C,11;12;13,11:N4:N;12:C7:C;13:C8:C,N-C-C,6
51,case_000051.pdb,4;5;6,4:C3:C;5:S1:S;6:C4:C,C-S-C,11;12;15,11:N4:N;12:C7:C;15:C10:C,N-C-C,5
52,case_000052.pdb,4;5;6,4:C3:C;5:S1:S;6:C4:C,C-S-C,11;14;15,11:N4:N;14:C9:C;15:C10:C,N-C-C,5
