case,filename,triplet_A_indices,triplet_A_atoms,triplet_A_elements,triplet_B_indices,triplet_B_atoms,triplet_B_elements,minimum_graph_distance
1,case_000001.pdb,0;1;2,0:O1:O;1:C1:C;2:N1:N,O-C-N,9;10;11,9:C6:C;10:N3:N;11:N4:N,C-N-N,3
2,case_000002.pdb,0;1;2,0:O1:O;1:C1:C;2:N1:N,O-C-N,10;11;12,10:N3:N;11:N4:N;12:C7:C,N-N-C,3
3,case_000003.pdb,0;1;2,0:O1:O;1:C1:C;2:N1:N,O-C-N,11;12;13,11:N4:N;12:C7:C;13:C8:C,N-C-C,3
4,case_000004.pdb,0;1;7,0:O1:O;1:C1:C;7:C5:C,O-C-C,4;5;6,4:C3:C;5:S1:S;6:C4:C,C-S-C,3
5,case_000005.pdb,1;2;3,1:C1:C;2:N1:N;3:C2:C,C-N-C,9;10;11,9:C6:C;10:N3:N;11:N4:N,C-N-N,3
6,case_000006.pdb,1;2;3,1:C1:C;2:N1:N;3:C2:C,C-N-C,10;11;12,10:N3:N;11:N4:N;12:C7:C,N-N-C,3
7,case_000007.pdb,1;2;3,1:C1:C;2:N1:N;3:C2:C,C-N-C,11;12;13,11:N4:N;12:C7:C;13:C8:C,N-C-C,3
8,case_000008.pdb,1;7;8,1:C1:C;7:C5:C;8:N2:N,C-C-N,4;5;6,4:C3:C;5:S1:S;6:C4:C,C-S-C,3
9,case_000009.pdb,2;3;4,2:N1:N;3:C2:C;4:C3:C,N-C-C,8;9;10,8:N2:N;9:C6:C;10:N3:N,N-C-N,3
10,case_000010.pdb,2;3;4,2:N1:N;3:C2:C;4:C3:C,N-C-C,9;10;11,9:C6:C;10:N3:N;11:N4:N,C-N-N,4
11,case_000011.pdb,2;3;4,2:N1:N;3:C2:C;4:C3:C,N-C-C,10;11;12,10:N3:N;11:N4:N;12:C7:C,N-N-C,4
12,case_000012.pdb,2;3;4,2:N1:N;3:C2:C;4:C3:C,N-C-C,10;11;15,10:N3:N;11:N4:N;15:C10:C,N-N-C,3
13,case_000013.pdb,2;3;4,2:N1:N;3:C2:C;4:C3:C,N-C-C,11;12;13,11:N4:N;12:C7:C;13:C8:C,N-C-C,4
14,case_000014.pdb,2;3;4,2:N1:N;3:C2:C;4:C3:C,N-C-C,11;12;15,11:N4:N;12:C7:C;15:C10:C,N-C-C,3
15,case_000015.pdb,2;3;4,2:N1:N;3:C2:C;4:C3:C,N-C-C,11;14;15,11:N4:N;14:C9:C;15:C10:C,N-C-C,3
16,case_000016.pdb,2;3;6,2:N1:N;3:C2:C;6:C4:C,N-C-C,8;9;10,8:N2:N;9:C6:C;10:N3:N,N-C-N,3
17,case_000017.pdb,2;3;6,2:N1:N;3:C2:C;6:C4:C,N-C-C,9;10;11,9:C6:C;10:N3:N;11:N4:N,C-N-N,4
18,case_000018.pdb,2;3;6,2:N1:N;3:C2:C;6:C4:C,N-C-C,10;11;12,10:N3:N;11:N4:N;12:C7:C,N-N-C,4
19,case_000019.pdb,2;3;6,2:N1:N;3:C2:C;6:C4:C,N-C-C,10;11;15,10:N3:N;11:N4:N;15:C10:C,N-N-C,3
20,case_000020.pdb,2;3;6,2:N1:N;3:C2:C;6:C4:C,N-C-C,11;12;13,11:N4:N;12:C7:C;13:C8:C,N-C-C,4
