case,filename,triplet_A_indices,triplet_A_atoms,triplet_A_elements,triplet_B_indices,triplet_B_atoms,triplet_B_elements,minimum_graph_distance
1,case_000001.pdb,20;21;22,20:C1:C;21:N1:N;22:C2:C,C-N-C,25;26;27,25:C5:C;26:N2:N;27:C6:C,C-N-C,3
2,case_000002.pdb,20;21;22,20:C1:C;21:N1:N;22:C2:C,C-N-C,25;26;38,25:C5:C;26:N2:N;38:C14:C,C-N-C,3
3,case_000003.pdb,20;21;22,20:C1:C;21:N1:N;22:C2:C,C-N-C,25;38;39,25:C5:C;38:C14:C;39:N3:N,C-C-N,3
4,case_000004.pdb,20;21;22,20:C1:C;21:N1:N;22:C2:C,C-N-C,26;27;28,26:N2:N;27:C6:C;28:O1:O,N-C-O,4
5,case_000005.pdb,20;21;22,20:C1:C;21:N1:N;22:C2:C,C-N-C,26;27;29,26:N2:N;27:C6:C;29:C7:C,N-C-C,4
6,case_000006.pdb,20;21;22,20:C1:C;21:N1:N;22:C2:C,C-N-C,27;28;29,27:C6:C;28:O1:O;29:C7:C,C-O-C,5
7,case_000007.pdb,20;21;22,20:C1:C;21:N1:N;22:C2:C,C-N-C,29;36;37,29:C7:C;36:C13:C;37:O3:O,C-C-O,6
8,case_000008.pdb,20;21;22,20:C1:C;21:N1:N;22:C2:C,C-N-C,32;33;34,32:C10:C;33:C11:C;34:O2:O,C-C-O,9
9,case_000009.pdb,20;21;22,20:C1:C;21:N1:N;22:C2:C,C-N-C,35;36;37,35:C12:C;36:C13:C;37:O3:O,C-C-O,7
10,case_000010.pdb,20;21;23,20:C1:C;21:N1:N;23:C3:C,C-N-C,26;27;28,26:N2:N;27:C6:C;28:O1:O,N-C-O,3
11,case_000011.pdb,20;21;23,20:C1:C;21:N1:N;23:C3:C,C-N-C,26;27;29,26:N2:N;27:C6:C;29:C7:C,N-C-C,3
12,case_000012.pdb,20;21;23,20:C1:C;21:N1:N;23:C3:C,C-N-C,27;28;29,27:C6:C;28:O1:O;29:C7:C,C-O-C,4
13,case_000013.pdb,20;21;23,20:C1:C;21:N1:N;23:C3:C,C-N-C,29;36;37,29:C7:C;36:C13:C;37:O3:O,C-C-O,5
14,case_000014.pdb,20;21;23,20:C1:C;21:N1:N;23:C3:C,C-N-C,32;33;34,32:C10:C;33:C11:C;34:O2:O,C-C-O,8
15,case_000015.pdb,20;21;23,20:C1:C;21:N1:N;23:C3:C,C-N-C,35;36;37,35:C12:C;36:C13:C;37:O3:O,C-C-O,6
16,case_000016.pdb,21;22;23,21:N1:N;22:C2:C;23:C3:C,N-C-C,26;27;28,26:N2:N;27:C6:C;28:O1:O,N-C-O,3
17,case_000017.pdb,21;22;23,21:N1:N;22:C2:C;23:C3:C,N-C-C,26;27;29,26:N2:N;27:C6:C;29:C7:C,N-C-C,3
18,case_000018.pdb,21;22;23,21:N1:N;22:C2:C;23:C3:C,N-C-C,27;28;29,27:C6:C;28:O1:O;29:C7:C,C-O-C,4
