case,filename,triplet_A_indices,triplet_A_atoms,triplet_A_elements,triplet_B_indices,triplet_B_atoms,triplet_B_elements,minimum_graph_distance
34,case_000034.pdb,0;4;27,0:N1:N;4:C7:C;27:O9:O,N-C-O,20;24;28,20:C29:C;24:O27:O;28:S26:S,C-O-S,4
35,case_000035.pdb,0;4;27,0:N1:N;4:C7:C;27:O9:O,N-C-O,20;25;28,20:C29:C;25:O28:O;28:S26:S,C-O-S,4
36,case_000036.pdb,0;4;27,0:N1:N;4:C7:C;27:O9:O,N-C-O,22;24;28,22:N25:N;24:O27:O;28:S26:S,N-O-S,3
37,case_000037.pdb,0;4;27,0:N1:N;4:C7:C;27:O9:O,N-C-O,22;25;28,22:N25:N;25:O28:O;28:S26:S,N-O-S,3
38,case_000038.pdb,0;4;27,0:N1:N;4:C7:C;27:O9:O,N-C-O,24;25;28,24:O27:O;25:O28:O;28:S26:S,O-O-S,4
39,case_000039.pdb,0;13;18,0:N1:N;13:C11:C;18:C2:C,N-C-C,20;24;28,20:C29:C;24:O27:O;28:S26:S,C-O-S,3
40,case_000040.pdb,0;13;18,0:N1:N;13:C11:C;18:C2:C,N-C-C,20;25;28,20:C29:C;25:O28:O;28:S26:S,C-O-S,3
41,case_000041.pdb,0;13;18,0:N1:N;13:C11:C;18:C2:C,N-C-C,24;25;28,24:O27:O;25:O28:O;28:S26:S,O-O-S,3
42,case_000042.pdb,1;21;22,1:C4:C;21:C3:C;22:N25:N,C-C-N,4;5;27,4:C7:C;5:C10:C;27:O9:O,C-C-O,3
43,case_000043.pdb,1;21;22,1:C4:C;21:C3:C;22:N25:N,C-C-N,4;26;27,4:C7:C;26:O8:O;27:O9:O,C-O-O,3
44,case_000044.pdb,1;21;22,1:C4:C;21:C3:C;22:N25:N,C-C-N,6;14;23,6:C13:C;14:C14:C;23:O12:O,C-C-O,3
45,case_000045.pdb,1;21;22,1:C4:C;21:C3:C;22:N25:N,C-C-N,6;16;23,6:C13:C;16:C18:C;23:O12:O,C-C-O,3
46,case_000046.pdb,4;5;27,4:C7:C;5:C10:C;27:O9:O,C-C-O,6;13;23,6:C13:C;13:C11:C;23:O12:O,C-C-O,3
47,case_000047.pdb,4;5;27,4:C7:C;5:C10:C;27:O9:O,C-C-O,6;14;23,6:C13:C;14:C14:C;23:O12:O,C-C-O,4
48,case_000048.pdb,4;5;27,4:C7:C;5:C10:C;27:O9:O,C-C-O,6;16;23,6:C13:C;16:C18:C;23:O12:O,C-C-O,4
49,case_000049.pdb,4;5;27,4:C7:C;5:C10:C;27:O9:O,C-C-O,20;22;28,20:C29:C;22:N25:N;28:S26:S,C-N-S,4
50,case_000050.pdb,4;5;27,4:C7:C;5:C10:C;27:O9:O,C-C-O,20;24;28,20:C29:C;24:O27:O;28:S26:S,C-O-S,5
51,case_000051.pdb,4;5;27,4:C7:C;5:C10:C;27:O9:O,C-C-O,20;25;28,20:C29:C;25:O28:O;28:S26:S,C-O-S,5
52,case_000052.pdb,4;5;27,4:C7:C;5:C10:C;27:O9:O,C-C-O,21;22;28,21:C3:C;22:N25:N;28:S26:S,C-N-S,3
53,case_000053.pdb,4;5;27,4:C7:C;5:C10:C;27:O9:O,C-C-O,22;24;28,22:N25:N;24:O27:O;28:S26:S,N-O-S,4
54,case_000054.pdb,4;5;27,4:C7:C;5:C10:C;27:O9:O,C-C-O,22;25;28,22:N25:N;25:O28:O;28:S26:S,N-O-S,4
55,case_000055.pdb,4;5;27,4:C7:C;5:C10:C;27:O9:O,C-C-O,24;25;28,24:O27:O;25:O28:O;28:S26:S,O-O-S,5
56,case_000056.pdb,4;26;27,4:C7:C;26:O8:O;27:O9:O,C-O-O,6;13;23,6:C13:C;13:C11:C;23:O12:O,C-C-O,3
57,case_000057.pdb,4;26;27,4:C7:C;26:O8:O;27:O9:O,C-O-O,6;14;23,6:C13:C;14:C14:C;23:O12:O,C-C-O,4
58,case_000058.pdb,4;26;27,4:C7:C;26:O8:O;27:O9:O,C-O-O,6;16;23,6:C13:C;16:C18:C;23:O12:O,C-C-O,4
59,case_000059.pdb,4;26;27,4:C7:C;26:O8:O;27:O9:O,C-O-O,20;22;28,20:C29:C;22:N25:N;28:S26:S,C-N-S,4
60,case_000060.pdb,4;26;27,4:C7:C;26:O8:O;27:O9:O,C-O-O,20;24;28,20:C29:C;24:O27:O;28:S26:S,C-O-S,5
61,case_000061.pdb,4;26;27,4:C7:C;26:O8:O;27:O9:O,C-O-O,20;25;28,20:C29:C;25:O28:O;28:S26:S,C-O-S,5
62,case_000062.pdb,4;26;27,4:C7:C;26:O8:O;27:O9:O,C-O-O,21;22;28,21:C3:C;22:N25:N;28:S26:S,C-N-S,3
63,case_000063.pdb,4;26;27,4:C7:C;26:O8:O;27:O9:O,C-O-O,22;24;28,22:N25:N;24:O27:O;28:S26:S,N-O-S,4
64,case_000064.pdb,4;26;27,4:C7:C;26:O8:O;27:O9:O,C-O-O,22;25;28,22:N25:N;25:O28:O;28:S26:S,N-O-S,4
65,case_000065.pdb,4;26;27,4:C7:C;26:O8:O;27:O9:O,C-O-O,24;25;28,24:O27:O;25:O28:O;28:S26:S,O-O-S,5
66,case_000066.pdb,6;13;23,6:C13:C;13:C11:C;23:O12:O,C-C-O,20;22;28,20:C29:C;22:N25:N;28:S26:S,C-N-S,3
67,case_000067.pdb,6;13;23,6:C13:C;13:C11:C;23:O12:O,C-C-O,20;24;28,20:C29:C;24:O27:O;28:S26:S,C-O-S,4
68,case_000068.pdb,6;13;23,6:C13:C;13:C11:C;23:O12:O,C-C-O,20;25;28,20:C29:C;25:O28:O;28:S26:S,C-O-S,4
69,case_000069.pdb,6;13;23,6:C13:C;13:C11:C;23:O12:O,C-C-O,22;24;28,22:N25:N;24:O27:O;28:S26:S,N-O-S,3
70,case_000070.pdb,6;13;23,6:C13:C;13:C11:C;23:O12:O,C-C-O,22;25;28,22:N25:N;25:O28:O;28:S26:S,N-O-S,3
71,case_000071.pdb,6;13;23,6:C13:C;13:C11:C;23:O12:O,C-C-O,24;25;28,24:O27:O;25:O28:O;28:S26:S,O-O-S,4
72,case_000072.pdb,6;14;23,6:C13:C;14:C14:C;23:O12:O,C-C-O,20;22;28,20:C29:C;22:N25:N;28:S26:S,C-N-S,4
73,case_000073.pdb,6;14;23,6:C13:C;14:C14:C;23:O12:O,C-C-O,20;24;28,20:C29:C;24:O27:O;28:S26:S,C-O-S,5
74,case_000074.pdb,6;14;23,6:C13:C;14:C14:C;23:O12:O,C-C-O,20;25;28,20:C29:C;25:O28:O;28:S26:S,C-O-S,5
75,case_000075.pdb,6;14;23,6:C13:C;14:C14:C;23:O12:O,C-C-O,21;22;28,21:C3:C;22:N25:N;28:S26:S,C-N-S,3
76,case_000076.pdb,6;14;23,6:C13:C;14:C14:C;23:O12:O,C-C-O,22;24;28,22:N25:N;24:O27:O;28:S26:S,N-O-S,4
77,case_000077.pdb,6;14;23,6:C13:C;14:C14:C;23:O12:O,C-C-O,22;25;28,22:N25:N;25:O28:O;28:S26:S,N-O-S,4
78,case_000078.pdb,6;14;23,6:C13:C;14:C14:C;23:O12:O,C-C-O,24;25;28,24:O27:O;25:O28:O;28:S26:S,O-O-S,5
79,case_000079.pdb,6;16;23,6:C13:C;16:C18:C;23:O12:O,C-C-O,20;22;28,20:C29:C;22:N25:N;28:S26:S,C-N-S,4
80,case_000080.pdb,6;16;23,6:C13:C;16:C18:C;23:O12:O,C-C-O,20;24;28,20:C29:C;24:O27:O;28:S26:S,C-O-S,5
81,case_000081.pdb,6;16;23,6:C13:C;16:C18:C;23:O12:O,C-C-O,20;25;28,20:C29:C;25:O28:O;28:S26:S,C-O-S,5
82,case_000082.pdb,6;16;23,6:C13:C;16:C18:C;23:O12:O,C-C-O,21;22;28,21:C3:C;22:N25:N;28:S26:S,C-N-S,3
83,case_000083.pdb,6;16;23,6:C13:C;16:C18:C;23:O12:O,C-C-O,22;24;28,22:N25:N;24:O27:O;28:S26:S,N-O-S,4
84,case_000084.pdb,6;16;23,6:C13:C;16:C18:C;23:O12:O,C-C-O,22;25;28,22:N25:N;25:O28:O;28:S26:S,N-O-S,4
85,case_000085.pdb,6;16;23,6:C13:C;16:C18:C;23:O12:O,C-C-O,24;25;28,24:O27:O;25:O28:O;28:S26:S,O-O-S,5
86,case_000086.pdb,13;18;23,13:C11:C;18:C2:C;23:O12:O,C-C-O,20;24;28,20:C29:C;24:O27:O;28:S26:S,C-O-S,3
87,case_000087.pdb,13;18;23,13:C11:C;18:C2:C;23:O12:O,C-C-O,20;25;28,20:C29:C;25:O28:O;28:S26:S,C-O-S,3
88,case_000088.pdb,13;18;23,13:C11:C;18:C2:C;23:O12:O,C-C-O,24;25;28,24:O27:O;25:O28:O;28:S26:S,O-O-S,3
