case,filename,triplet_A_indices,triplet_A_atoms,triplet_A_elements,triplet_B_indices,triplet_B_atoms,triplet_B_elements,minimum_graph_distance
1,case_000001.pdb,0;2;3,0:N1:N;2:C5:C;3:C6:C,N-C-C,6;14;23,6:C13:C;14:C14:C;23:O12:O,C-C-O,3
2,case_000002.pdb,0;2;3,0:N1:N;2:C5:C;3:C6:C,N-C-C,6;16;23,6:C13:C;16:C18:C;23:O12:O,C-C-O,3
3,case_000003.pdb,0;2;3,0:N1:N;2:C5:C;3:C6:C,N-C-C,20;22;28,20:C29:C;22:N25:N;28:S26:S,C-N-S,3
4,case_000004.pdb,0;2;3,0:N1:N;2:C5:C;3:C6:C,N-C-C,20;24;28,20:C29:C;24:O27:O;28:S26:S,C-O-S,4
5,case_000005.pdb,0;2;3,0:N1:N;2:C5:C;3:C6:C,N-C-C,20;25;28,20:C29:C;25:O28:O;28:S26:S,C-O-S,4
6,case_000006.pdb,0;2;3,0:N1:N;2:C5:C;3:C6:C,N-C-C,22;24;28,22:N25:N;24:O27:O;28:S26:S,N-O-S,3
7,case_000007.pdb,0;2;3,0:N1:N;2:C5:C;3:C6:C,N-C-C,22;25;28,22:N25:N;25:O28:O;28:S26:S,N-O-S,3
8,case_000008.pdb,0;2;3,0:N1:N;2:C5:C;3:C6:C,N-C-C,24;25;28,24:O27:O;25:O28:O;28:S26:S,O-O-S,4
9,case_000009.pdb,0;3;4,0:N1:N;3:C6:C;4:C7:C,N-C-C,6;14;23,6:C13:C;14:C14:C;23:O12:O,C-C-O,3
10,case_000010.pdb,0;3;4,0:N1:N;3:C6:C;4:C7:C,N-C-C,6;16;23,6:C13:C;16:C18:C;23:O12:O,C-C-O,3
11,case_000011.pdb,0;3;4,0:N1:N;3:C6:C;4:C7:C,N-C-C,20;22;28,20:C29:C;22:N25:N;28:S26:S,C-N-S,3
12,case_000012.pdb,0;3;4,0:N1:N;3:C6:C;4:C7:C,N-C-C,20;24;28,20:C29:C;24:O27:O;28:S26:S,C-O-S,4
13,case_000013.pdb,0;3;4,0:N1:N;3:C6:C;4:C7:C,N-C-C,20;25;28,20:C29:C;25:O28:O;28:S26:S,C-O-S,4
14,case_000014.pdb,0;3;4,0:N1:N;3:C6:C;4:C7:C,N-C-C,22;24;28,22:N25:N;24:O27:O;28:S26:S,N-O-S,3
15,case_000015.pdb,0;3;4,0:N1:N;3:C6:C;4:C7:C,N-C-C,22;25;28,22:N25:N;25:O28:O;28:S26:S,N-O-S,3
16,case_000016.pdb,0;3;4,0:N1:N;3:C6:C;4:C7:C,N-C-C,24;25;28,24:O27:O;25:O28:O;28:S26:S,O-O-S,4
17,case_000017.pdb,0;3;18,0:N1:N;3:C6:C;18:C2:C,N-C-C,20;24;28,20:C29:C;24:O27:O;28:S26:S,C-O-S,3
18,case_000018.pdb,0;3;18,0:N1:N;3:C6:C;18:C2:C,N-C-C,20;25;28,20:C29:C;25:O28:O;28:S26:S,C-O-S,3
19,case_000019.pdb,0;3;18,0:N1:N;3:C6:C;18:C2:C,N-C-C,24;25;28,24:O27:O;25:O28:O;28:S26:S,O-O-S,3
20,case_000020.pdb,0;4;18,0:N1:N;4:C7:C;18:C2:C,N-C-C,20;24;28,20:C29:C;24:O27:O;28:S26:S,C-O-S,3
21,case_000021.pdb,0;4;18,0:N1:N;4:C7:C;18:C2:C,N-C-C,20;25;28,20:C29:C;25:O28:O;28:S26:S,C-O-S,3
22,case_000022.pdb,0;4;18,0:N1:N;4:C7:C;18:C2:C,N-C-C,24;25;28,24:O27:O;25:O28:O;28:S26:S,O-O-S,3
23,case_000023.pdb,0;4;26,0:N1:N;4:C7:C;26:O8:O,N-C-O,6;14;23,6:C13:C;14:C14:C;23:O12:O,C-C-O,3
24,case_000024.pdb,0;4;26,0:N1:N;4:C7:C;26:O8:O,N-C-O,6;16;23,6:C13:C;16:C18:C;23:O12:O,C-C-O,3
25,case_000025.pdb,0;4;26,0:N1:N;4:C7:C;26:O8:O,N-C-O,20;22;28,20:C29:C;22:N25:N;28:S26:S,C-N-S,3
26,case_000026.pdb,0;4;26,0:N1:N;4:C7:C;26:O8:O,N-C-O,20;24;28,20:C29:C;24:O27:O;28:S26:S,C-O-S,4
27,case_000027.pdb,0;4;26,0:N1:N;4:C7:C;26:O8:O,N-C-O,20;25;28,20:C29:C;25:O28:O;28:S26:S,C-O-S,4
28,case_000028.pdb,0;4;26,0:N1:N;4:C7:C;26:O8:O,N-C-O,22;24;28,22:N25:N;24:O27:O;28:S26:S,N-O-S,3
29,case_000029.pdb,0;4;26,0:N1:N;4:C7:C;26:O8:O,N-C-O,22;25;28,22:N25:N;25:O28:O;28:S26:S,N-O-S,3
30,case_000030.pdb,0;4;26,0:N1:N;4:C7:C;26:O8:O,N-C-O,24;25;28,24:O27:O;25:O28:O;28:S26:S,O-O-S,4
31,case_000031.pdb,0;4;27,0:N1:N;4:C7:C;27:O9:O,N-C-O,6;14;23,6:C13:C;14:C14:C;23:O12:O,C-C-O,3
32,case_000032.pdb,0;4;27,0:N1:N;4:C7:C;27:O9:O,N-C-O,6;16;23,6:C13:C;16:C18:C;23:O12:O,C-C-O,3
33,case_000033.pdb,0;4;27,0:N1:N;4:C7:C;27:O9:O,N-C-O,20;22;28,20:C29:C;22:N25:N;28:S26:S,C-N-S,3
